game_date,matchup,wl,min,pts,reb,ast,stl,blk,tov,fgm,fga,fg3m,fg3a,plus_minus
2024-04-12,GSW vs. NOP,L,32,33,4,5,1,0,7,12,23,7,13,-8
2024-04-11,GSW @ POR,W,36,22,7,8,1,2,2,8,22,5,16,7
2024-04-09,GSW @ LAL,W,32,23,7,8,1,2,1,7,9,6,6,13
2024-04-05,GSW @ DAL,L,35,28,6,5,1,0,2,9,23,5,14,-5
2024-04-04,GSW @ HOU,W,31,29,6,6,0,0,3,9,14,2,6,29
2024-04-02,GSW vs. DAL,W,32,13,7,7,1,2,4,5,18,3,5,-4
2024-03-31,GSW @ SAS,W,33,33,1,8,0,0,4,12,23,7,15,12
2024-03-29,GSW @ CHA,W,32,23,1,4,1,0,0,9,18,4,11,13
2024-03-27,GSW @ ORL,W,35,17,4,10,0,0,2,6,18,3,8,18
2024-03-26,GSW @ MIA,W,31,17,2,6,0,0,1,7,15,3,10,19
2024-03-24,GSW @ MIN,L,30,31,4,3,0,0,2,9,21,5,11,6
2024-03-22,GSW vs. IND,L,35,25,11,5,0,0,1,9,24,6,18,-13
2024-03-20,GSW vs. MEM,W,24,14,2,3,0,1,2,5,9,4,7,17
2024-03-18,GSW vs. NYK,L,33,27,5,5,0,0,2,8,20,4,13,-9
2024-03-16,GSW @ LAL,W,34,31,6,5,2,0,1,12,24,3,10,4
2024-03-07,GSW vs. CHI,L,29,15,3,1,0,0,2,5,18,3,12,9
2024-03-06,GSW vs. MIL,W,31,29,8,5,0,0,2,10,18,6,10,15
2024-03-03,GSW @ BOS,L,17,4,1,3,0,0,2,2,13,0,9,-29
2024-03-01,GSW @ TOR,W,30,25,6,6,0,0,4,9,22,7,15,12
2024-02-29,GSW @ NYK,W,32,31,11,1,1,0,3,11,26,8,18,20
2024-02-27,GSW @ WAS,W,30,18,5,6,1,1,3,6,21,4,16,1
2024-02-25,GSW vs. DEN,L,32,20,1,4,0,0,3,6,19,1,10,-22
2024-02-23,GSW vs. CHA,W,31,15,2,5,1,0,4,5,14,3,11,10
2024-02-22,GSW vs. LAL,W,32,32,1,8,3,0,1,12,24,6,13,25
2024-02-15,GSW @ UTA,W,35,16,2,10,1,0,4,4,14,2,8,-2
2024-02-14,GSW vs. LAC,L,35,41,4,5,0,0,4,15,31,9,19,-6
2024-02-12,GSW @ UTA,W,32,25,6,10,3,1,1,9,19,7,16,30
2024-02-10,GSW vs. PHX,W,34,30,9,6,1,0,3,10,22,9,16,10
2024-02-08,GSW @ IND,W,30,42,2,2,0,1,2,15,22,11,16,13
2024-02-07,GSW @ PHI,W,25,9,3,1,0,1,4,2,7,1,4,13
2024-02-05,GSW @ BKN,W,34,29,5,3,0,0,4,12,24,4,11,6
2024-02-03,GSW @ ATL,L,41,60,6,4,0,1,2,22,38,10,23,-1
2024-02-02,GSW @ MEM,W,32,20,6,6,1,0,3,6,16,4,9,12
